06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:05:50.636 11275-11834/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 80001,444,430,150,147,147,150,0,3,147,130,0,0,257747,253915,11,0
06-26 16:05:50.647 11275-11837/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 80001,438,431,148,145,145,148,0,1,145,137,0,0,254239,252576,11,0
06-26 16:05:50.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 80001,441,441,151,145,145,151,0,2,145,143,0,0,255250,257578,11,0
06-26 16:05:50.658 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 80001,431,433,151,140,140,151,0,3,140,139,0,0,248006,256086,11,0
06-26 16:06:00.570 11275-11865/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0: 90002,501,504,164,168,168,164,1,2,168,170,0,0,292614,287784,11,0
06-26 16:06:00.580 11275-11866/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_1: 90001,504,499,169,167,167,169,1,1,167,162,0,0,292643,290654,11,0
06-26 16:06:00.587 11275-11867/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_2: 90001,493,490,164,164,164,164,1,1,164,161,0,0,284591,286776,11,0
06-26 16:06:00.595 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 90000,502,501,165,168,168,164,1,0,168,169,0,0,290541,288743,11,0
06-26 16:06:00.606 11275-11869/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_4: 90002,516,508,163,173,173,163,7,1,173,171,0,0,299462,287968,11,0
06-26 16:06:00.624 11275-11829/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_5: 90001,484,499,166,159,159,166,0,1,159,173,0,0,276937,291578,11,0
06-26 16:06:00.638 11275-11871/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_6: 90003,502,486,170,166,166,170,0,3,166,147,0,0,291516,288363,11,0
06-26 16:06:00.646 11275-11872/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 90000,500,496,168,166,166,168,0,1,166,161,0,0,291224,288919,11,0
06-26 16:06:00.651 11275-11844/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 90001,501,500,171,165,165,171,0,2,165,162,0,0,290622,292598,11,0
06-26 16:06:00.658 11275-11874/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 90002,491,492,171,160,160,171,0,3,160,158,0,0,283376,291082,11,0
