06-27 13:26:12.243 30478-30853/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_0-header: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-27 13:26:52.438 30478-30997/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_7: 40000,125,69,71,26,26,25,2,12,26,6,0,0,48797,37781,14,0
06-27 13:26:52.457 30478-30998/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_8: 40001,250,164,55,78,78,27,39,2,78,57,0,0,119597,63796,11,0
06-27 13:26:52.458 30478-30999/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_9: 40001,275,186,62,84,84,29,45,1,84,71,0,0,122674,68529,8,0
06-27 13:26:52.464 30478-31000/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_10: 40001,158,95,71,38,38,26,11,13,38,18,0,0,66816,45718,13,0
06-27 13:26:52.476 30478-31001/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_11: 40000,181,114,71,47,47,28,16,8,47,31,0,0,83151,51459,13,0
06-27 13:26:52.484 30478-31003/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_12: 40001,106,87,49,20,20,34,17,12,20,21,0,0,25905,58274,4,0
06-27 13:26:52.491 30478-31002/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_13: 40001,129,75,71,25,25,25,8,10,25,15,0,0,45938,40317,11,0
06-27 13:26:52.497 30478-31004/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_14: 40003,267,175,69,85,85,36,28,6,85,48,0,0,138723,73910,11,0
06-27 13:26:52.500 30478-31005/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_15: 40000,236,152,59,74,74,31,29,2,74,45,0,0,119671,65589,11,0
06-27 13:26:52.516 30478-31006/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_17: 40001,67,53,54,5,5,29,3,15,5,4,0,0,12068,43767,6,0
06-27 13:26:52.516 30478-31007/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_16: 40001,94,51,71,11,11,22,1,12,11,6,0,0,21358,31174,10,0
06-27 13:26:52.524 30478-31008/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_18: 40001,129,76,71,27,27,31,4,9,27,9,0,0,48723,45999,11,0
06-27 13:26:52.529 30478-31011/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_19: 40001,127,70,71,25,25,20,6,7,25,18,0,0,49014,31857,12,0
06-27 13:26:52.535 30478-31009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_20: 40000,105,73,69,15,15,29,6,10,15,19,0,0,28243,46597,9,0
06-27 13:26:52.542 30478-31010/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_21: 40002,120,61,61,26,26,19,7,9,26,7,0,0,41015,28956,8,0
06-27 13:26:52.550 30478-31012/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_22: 40000,96,74,67,14,14,34,1,20,14,5,0,0,22842,55152,8,0
