06-26 03:47:43.361 27688-27754/nl.tudelft.cs4160.trustchain_android I/Statistics-lg: runtime,messagesSent,messagesReceived,introductionRequestsSent,introductionRequestsReceived,introductionResponsesSent,introductionResponsesReceived,puncturesSent,puncturesReceived,punctureRequestsSent,punctureRequestsReceived,blockMessagesSent,blockMessagesReceived,bytesSentCount,bytesReceivedCount,activeConnections,newConnections
06-26 16:18:30.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 840000,4738,4366,1645,1546,1546,1417,1,0,1546,1403,0,0,2738795,2508020,11,0
06-26 16:18:40.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 850000,4792,4409,1665,1563,1563,1430,1,0,1563,1416,0,0,2769226,2531408,11,0
06-26 16:18:50.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 860000,4858,4457,1685,1586,1586,1442,1,0,1586,1429,0,0,2809587,2554073,11,0
06-26 16:19:00.594 11275-11868/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 870000,4910,4500,1705,1602,1602,1454,1,0,1602,1444,0,0,2838361,2576368,11,0
06-26 16:19:10.600 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 880005,4968,4543,1725,1621,1621,1466,1,0,1621,1456,0,0,2872052,2598248,11,0
06-26 16:19:20.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 890000,5018,4577,1745,1636,1636,1478,1,0,1636,1463,0,0,2899133,2618556,11,0
06-26 16:19:30.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 900000,5068,4622,1765,1651,1651,1490,1,0,1651,1481,0,0,2926228,2641235,11,0
06-26 16:19:40.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 910000,5130,4664,1785,1672,1672,1502,1,0,1672,1490,0,0,2963237,2662650,11,0
06-26 16:19:50.614 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 920020,5172,4701,1795,1688,1688,1512,1,0,1688,1501,0,0,2990821,2681131,11,0
06-26 16:20:00.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 930000,5236,4749,1815,1710,1710,1524,1,0,1710,1515,0,0,3029515,2703862,11,0
06-26 16:20:10.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 940000,5286,4787,1835,1725,1725,1538,1,0,1725,1524,0,0,3056602,2727513,11,0
06-26 16:20:20.596 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 950002,5332,4824,1855,1738,1738,1548,1,0,1738,1538,0,0,3080369,2746468,11,0
06-26 16:20:30.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 960000,5378,4859,1875,1751,1751,1562,1,0,1751,1546,0,0,3104096,2769622,11,0
06-26 16:20:40.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 970000,5428,4901,1895,1766,1766,1574,1,0,1766,1561,0,0,3131181,2791811,11,0
06-26 16:20:50.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 980000,5474,4938,1915,1779,1779,1587,1,0,1779,1572,0,0,3154986,2814302,11,0
06-26 16:21:00.598 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 990000,5525,4972,1935,1795,1795,1598,1,0,1795,1579,0,0,3183480,2833083,11,0
06-26 16:21:10.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1000000,5580,5011,1955,1812,1812,1610,1,0,1812,1589,0,0,3214161,2854392,11,0
06-26 16:21:20.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1010000,5620,5044,1975,1822,1822,1623,1,0,1822,1599,0,0,3232947,2876216,11,0
06-26 16:21:30.595 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1020000,5672,5089,1995,1838,1838,1638,1,0,1838,1613,0,0,3261717,2902579,11,0
06-26 16:21:40.595 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1030000,5714,5119,2015,1849,1849,1651,1,0,1849,1619,0,0,3282158,2923580,11,0
06-26 16:21:50.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1040000,5772,5161,2035,1868,1868,1664,1,0,1868,1629,0,0,3315901,2946476,11,0
06-26 16:22:00.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1050000,5820,5194,2055,1882,1882,1676,1,0,1882,1636,0,0,3341297,2966672,11,0
06-26 16:22:10.596 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1060002,5866,5229,2075,1895,1895,1689,1,0,1895,1645,0,0,3365106,2988529,11,0
06-26 16:22:20.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1070000,5922,5272,2095,1913,1913,1701,1,0,1913,1658,0,0,3397158,3010594,11,0
06-26 16:22:30.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1080000,5986,5316,2115,1935,1935,1712,1,0,1935,1669,0,0,3435816,3031107,11,0
06-26 16:22:40.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1090000,6034,5349,2135,1949,1949,1723,1,0,1949,1677,0,0,3461254,3050090,11,0
06-26 16:22:50.596 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1100002,6092,5394,2155,1968,1968,1734,1,0,1968,1692,0,0,3494985,3071313,11,0
06-26 16:23:00.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1110000,6144,5435,2175,1984,1984,1742,1,0,1984,1709,0,0,3523725,3088469,11,0
06-26 16:23:10.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1120000,6178,5474,2185,1996,1996,1756,1,0,1996,1722,0,0,3544695,3112580,11,0
06-26 16:23:20.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1130000,6226,5513,2205,2010,2010,1769,1,0,2010,1734,0,0,3570119,3135285,11,0
06-26 16:23:30.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1140000,6274,5554,2225,2024,2024,1783,1,0,2024,1747,0,0,3595515,3159757,11,0
06-26 16:23:40.610 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1150016,6324,5592,2245,2039,2039,1793,1,0,2039,1760,0,0,3622582,3178660,11,0
06-26 16:23:50.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1160000,6374,5630,2265,2054,2054,1807,1,0,2054,1769,0,0,3649681,3202307,11,0
06-26 16:24:00.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1170000,6424,5667,2285,2069,2069,1821,1,0,2069,1777,0,0,3676752,3225615,11,0
06-26 16:24:10.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1180000,6476,5705,2305,2085,2085,1833,1,0,2085,1787,0,0,3705476,3246717,11,0
06-26 16:24:20.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1190000,6510,5735,2325,2092,2092,1846,1,0,2092,1797,0,0,3719333,3268220,11,0
06-26 16:24:30.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1200000,6564,5775,2345,2109,2109,1861,1,0,2109,1805,0,0,3749680,3293146,11,0
06-26 16:24:40.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1210000,6600,5805,2365,2117,2117,1873,1,0,2117,1815,0,0,3765184,3313249,11,0
06-26 16:24:50.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1220000,6650,5840,2385,2132,2132,1888,1,0,2132,1820,0,0,3792221,3337264,11,0
06-26 16:25:00.603 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1230009,6698,5874,2405,2146,2146,1897,1,0,2146,1831,0,0,3817647,3354175,11,0
06-26 16:25:10.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1240000,6742,5907,2425,2158,2158,1910,1,0,2158,1839,0,0,3839717,3375774,11,0
06-26 16:25:20.595 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1250000,6786,5938,2445,2170,2170,1924,1,0,2170,1844,0,0,3861797,3397922,11,0
06-26 16:25:30.598 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1260004,6838,5978,2465,2186,2186,1935,1,0,2186,1857,0,0,3890557,3418343,11,0
06-26 16:25:40.596 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1270002,6888,6018,2485,2201,2201,1948,1,0,2201,1869,0,0,3917660,3441258,11,0
06-26 16:25:50.594 11275-12009/nl.tudelft.cs4160.trustchain_android I/Statistics-stress_test_user_3: 1280000,6932,6049,2505,2213,2213,1961,1,0,2213,1875,0,0,3939760,3462430,11,0
